Suburb,Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount
Airport West,3,1042000,13.5,3042,3,2,5,612,174,1950,-37.7173,144.8796,Western Metropolitan,3464
Airport West,3,910000,13.5,3042,3,1,1,775,,,-37.7231,144.8835,Western Metropolitan,3464
Airport West,4,773000,13.5,3042,5,3,4,531,309,1980,-37.7263,144.8679,Western Metropolitan,3464
Airport West,3,810000,13.5,3042,3,3,2,555,192,1980,-37.7285,144.8694,Western Metropolitan,3464
Airport West,3,715000,13.5,3042,3,2,2,422,126,1995,-37.7164,144.8792,Western Metropolitan,3464
Airport West,3,790000,13.5,3042,3,1,3,614,,,-37.7194,144.8827,Western Metropolitan,3464
Airport West,3,540000,13.5,3042,2,2,1,161,101,2010,-37.7231,144.8802,Western Metropolitan,3464
Airport West,3,825000,13.5,3042,3,2,1,293,102,1960,-37.72,144.8776,Western Metropolitan,3464
Airport West,3,685000,13.5,3042,3,1,1,579,113,1975,-37.7226,144.8733,Western Metropolitan,3464
Airport West,3,805000,13.5,3042,3,1,1,623,,,-37.7184,144.882,Western Metropolitan,3464
Airport West,2,510000,13.5,3042,2,1,1,141,76,,-37.7202,144.8797,Western Metropolitan,3464
Airport West,3,612000,13.5,3042,3,2,1,212,,,-37.7181,144.8824,Western Metropolitan,3464
Airport West,3,662000,13.5,3042,3,1,2,612,,,-37.7169,144.8815,Western Metropolitan,3464
Airport West,4,978000,13.5,3042,4,3,2,532,,,-37.7263,144.869,Western Metropolitan,3464
Airport West,3,720000,13.5,3042,3,1,1,585,,,-37.72,144.878,Western Metropolitan,3464
Airport West,4,765000,13.5,3042,4,1,2,509,,,-37.7261,144.8785,Western Metropolitan,3464
Airport West,4,900000,13.5,3042,4,2,3,628,146,1975,-37.7256,144.8739,Western Metropolitan,3464
Albert Park,2,1275000,3.3,3206,2,1,0,120,82,1900,-37.8459,144.9555,Southern Metropolitan,3280
Albert Park,2,1455000,3.3,3206,2,1,0,159,,,-37.845,144.9538,Southern Metropolitan,3280
Albert Park,3,2850000,3.3,3206,3,2,0,211,198,1890,-37.8481,144.9499,Southern Metropolitan,3280
Albert Park,3,1850000,3.3,3206,3,2,0,128,133,1890,-37.8452,144.9488,Southern Metropolitan,3280
Albert Park,2,1436000,3.3,3206,2,1,0,130,81,1900,-37.8431,144.9565,Southern Metropolitan,3280
Albert Park,2,1110000,3.3,3206,1,1,0,147,,1900,-37.8444,144.9484,Southern Metropolitan,3280
Albert Park,2,1550000,3.3,3206,2,1,1,167,,,-37.8405,144.9521,Southern Metropolitan,3280
Albert Park,4,2300000,3.3,3206,4,2,1,153,180,1880,-37.8447,144.9523,Southern Metropolitan,3280
Albert Park,3,1550000,3.3,3206,3,2,2,718,,,-37.8443,144.9598,Southern Metropolitan,3280
Albert Park,3,1800000,3.3,3206,3,2,1,132,159,1996,-37.8415,144.952,Southern Metropolitan,3280
Albert Park,2,2120000,3.3,3206,2,1,1,199,107,1900,-37.8422,144.9554,Southern Metropolitan,3280
Albert Park,3,1800000,3.3,3206,3,1,1,253,,,-37.8443,144.9579,Southern Metropolitan,3280
Albert Park,3,1800000,3.3,3206,3,2,1,90,122,1900,-37.8421,144.9571,Southern Metropolitan,3280
Albert Park,2,1810000,3.3,3206,2,1,0,240,,,-37.8379,144.9539,Southern Metropolitan,3280
Albert Park,3,2615000,3.3,3206,3,2,1,177,181,1880,-37.8415,144.9585,Southern Metropolitan,3280
Albert Park,5,2100000,3.3,3206,5,2,1,237,,,-37.8436,144.9557,Southern Metropolitan,3280
Albert Park,3,1300000,3.3,3206,3,1,0,129,,,-37.8422,144.949,Southern Metropolitan,3280
Albert Park,3,1370000,3.3,3206,3,2,2,0,85,2000,-37.8451,144.9511,Southern Metropolitan,3280
Albert Park,2,1000000,3.3,3206,2,1,0,288,,,-37.8407,144.9523,Southern Metropolitan,3280
Albert Park,3,2575000,3.3,3206,3,2,1,228,,,-37.8445,144.9501,Southern Metropolitan,3280
Albert Park,2,1322500,3.3,3206,2,1,0,149,98,1890,-37.8443,144.9481,Southern Metropolitan,3280
Albert Park,2,1562500,3.3,3206,2,1,0,141,83,1890,-37.8424,144.9562,Southern Metropolitan,3280
Albert Park,3,2000000,3.3,3206,3,2,1,211,147,1900,-37.847,144.9575,Southern Metropolitan,3280
Albert Park,3,1900000,3.3,3206,3,1,0,209,,1900,-37.8468,144.9546,Southern Metropolitan,3280
Albert Park,3,3010000,3.3,3206,3,2,0,147,146,1890,-37.8473,144.9551,Southern Metropolitan,3280
Albert Park,4,2800000,3.3,3206,4,3,1,327,254,1910,-37.8467,144.9475,Southern Metropolitan,3280
Albert Park,2,647000,3.3,3206,2,1,1,0,,,-37.846,144.9542,Southern Metropolitan,3280
Albert Park,3,2100000,3.3,3206,2,1,1,120,123,1900,-37.8427,144.9546,Southern Metropolitan,3280
Albert Park,3,2000000,3.3,3206,3,1,1,238,131,1890,-37.8461,144.9528,Southern Metropolitan,3280
Albert Park,1,442500,3.3,3206,1,1,0,0,34,1970,-37.8421,144.9517,Southern Metropolitan,3280
Albert Park,4,4735000,3.3,3206,4,2,1,330,207,1910,-37.8477,144.9558,Southern Metropolitan,3280
Albert Park,2,1340000,3.3,3206,2,1,0,136,,,-37.846,144.9517,Southern Metropolitan,3280
Albert Park,3,1801000,3.3,3206,3,1,1,202,,,-37.8429,144.9493,Southern Metropolitan,3280
Albert Park,3,1532000,3.3,3206,3,3,1,0,,,-37.8415,144.9585,Southern Metropolitan,3280
Albert Park,3,3755000,3.3,3206,3,2,2,325,,,-37.8413,144.95,Southern Metropolitan,3280
Albert Park,4,2140000,3.3,3206,3,2,1,183,145,1880,-37.8434,144.9495,Southern Metropolitan,3280
Albert Park,2,1750000,3.3,3206,2,1,1,162,,,-37.8416,144.9488,Southern Metropolitan,3280
Albert Park,2,980000,3.3,3206,2,1,0,79,68,1890,-37.8387,144.9519,Southern Metropolitan,3280
Albert Park,3,2030000,3.3,3206,3,2,0,152,,,-37.8488,144.9551,Southern Metropolitan,3280
Albert Park,3,1740000,3.3,3206,3,2,2,147,134,1890,-37.8448,144.9453,Southern Metropolitan,3280
Albert Park,3,2800000,3.3,3206,3,3,1,0,,,-37.8399,144.9577,Southern Metropolitan,3280
Albert Park,1,985000,3.3,3206,1,1,0,81,54,1900,-37.8411,144.9497,Southern Metropolitan,3280
Alphington,4,2000000,6.4,3078,3,2,4,853,263,1930,-37.7707,145.0318,Northern Metropolitan,2211
Alphington,3,1110000,6.4,3078,3,2,2,208,,2013,-37.7854,145.0325,Northern Metropolitan,2211
Alphington,3,1492000,6.4,3078,3,2,2,411,,,-37.7713,145.0279,Northern Metropolitan,2211
Alphington,4,1717500,6.4,3078,4,2,1,599,203,1925,-37.7717,145.031,Northern Metropolitan,2211
Alphington,5,2840000,6.4,3078,5,4,4,809,165,1910,-37.775,145.0268,Northern Metropolitan,2211
Alphington,2,525500,6.4,3078,2,1,1,88,60,1960,-37.7791,145.0306,Northern Metropolitan,2211
Alphington,2,805000,6.4,3078,2,2,3,155,140,2004,-37.7804,145.0308,Northern Metropolitan,2211
Alphington,2,465000,6.4,3078,2,1,1,0,,,-37.7773,145.0314,Northern Metropolitan,2211
Alphington,3,2000000,6.4,3078,3,3,2,686,,,-37.78,145.0341,Northern Metropolitan,2211
Alphington,3,1540000,6.4,3078,3,1,2,592,,,-37.7755,145.0288,Northern Metropolitan,2211
Alphington,2,820000,6.4,3078,2,1,1,183,,,-37.7747,145.0264,Northern Metropolitan,2211
Alphington,4,1830000,6.4,3078,4,2,2,606,112,1970,-37.7743,145.0316,Northern Metropolitan,2211
Alphington,4,2100000,6.4,3078,4,2,2,575,271,2008,-37.7723,145.0319,Northern Metropolitan,2211
Alphington,3,865000,6.4,3078,3,1,1,180,131,2010,-37.7802,145.0243,Northern Metropolitan,2211
Alphington,2,390000,6.4,3078,2,1,1,0,60,1960,-37.7773,145.0314,Northern Metropolitan,2211
Alphington,2,650000,6.4,3078,0,1,0,0,,,-37.7848,145.025,Northern Metropolitan,2211
Alphington,2,512000,6.4,3078,2,1,1,0,61,1965,-37.7805,145.0262,Northern Metropolitan,2211
Alphington,3,1165000,6.4,3078,3,1,2,979,,,-37.7792,145.029,Northern Metropolitan,2211
Alphington,4,1900000,6.4,3078,4,2,2,556,272,1930,-37.7844,145.0225,Northern Metropolitan,2211
Alphington,3,1485000,6.4,3078,3,0,0,597,,,-37.7781,145.0284,Northern Metropolitan,2211
Alphington,4,1950000,6.4,3078,4,2,3,589,210,1920,-37.7719,145.0309,Northern Metropolitan,2211
Altona,3,520000,13.8,3018,3,2,1,352,242,2015,-37.87,144.825,Western Metropolitan,5301
Altona,5,1525000,13.8,3018,5,3,3,729,268,2005,-37.8721,144.8105,Western Metropolitan,5301
Altona,2,720000,13.8,3018,2,1,2,292,125,2013,-37.8687,144.8197,Western Metropolitan,5301
Altona,3,1120000,13.8,3018,3,1,2,506,120,1930,-37.8693,144.8375,Western Metropolitan,5301
Altona,4,780000,13.8,3018,4,1,4,655,,,-37.868,144.8154,Western Metropolitan,5301
Altona,4,1780000,13.8,3018,4,3,6,1057,220,1962,-37.8681,144.819,Western Metropolitan,5301
Altona,3,630000,13.8,3018,2,1,2,311,94,1955,-37.8702,144.8143,Western Metropolitan,5301
Altona,2,406000,13.8,3018,2,1,1,65,,,-37.8693,144.8171,Western Metropolitan,5301
Altona,3,660000,13.8,3018,3,1,1,602,123,1955,-37.8616,144.8116,Western Metropolitan,5301
Altona,3,683500,13.8,3018,3,1,1,530,,,-37.8594,144.817,Western Metropolitan,5301
Altona,2,580000,13.8,3018,2,1,1,225,93,1988,-37.8696,144.827,Western Metropolitan,5301
Altona,3,1335000,13.8,3018,3,1,4,777,22,1953,-37.8697,144.8249,Western Metropolitan,5301
Altona,3,800000,13.8,3018,3,2,2,280,,1997,-37.8734,144.8143,Western Metropolitan,5301
Altona,2,510000,13.8,3018,2,1,1,127,76,1990,-37.8686,144.8182,Western Metropolitan,5301
Altona,4,1070000,13.8,3018,4,2,2,695,,,-37.8733,144.8147,Western Metropolitan,5301
Altona,2,425000,13.8,3018,2,1,2,115,57,1980,-37.871,144.8185,Western Metropolitan,5301
Altona,3,605000,13.8,3018,3,2,2,230,,,-37.8646,144.827,Western Metropolitan,5301
Altona,3,705000,13.8,3018,3,2,2,197,152,,-37.8579,144.8181,Western Metropolitan,5301
Altona,2,391000,13.8,3018,2,1,1,0,65,1965,-37.8678,144.8384,Western Metropolitan,5301
Altona,2,440000,13.8,3018,2,1,1,0,,,-37.8659,144.831,Western Metropolitan,5301
Altona,4,845000,13.8,3018,4,1,2,745,130,1950,-37.8658,144.8155,Western Metropolitan,5301
Altona,3,743000,13.8,3018,3,2,2,211,176,,-37.8698,144.816,Western Metropolitan,5301
Altona,3,730000,13.8,3018,3,2,1,69,141,2014,-37.868,144.8286,Western Metropolitan,5301
Altona,3,635000,13.8,3018,3,1,4,625,,1960,-37.8611,144.8114,Western Metropolitan,5301
Altona,2,620000,13.8,3018,2,1,1,168,,,-37.8676,144.8202,Western Metropolitan,5301
Altona,2,447000,13.8,3018,2,1,1,137,77,1990,-37.8655,144.8299,Western Metropolitan,5301
Altona,3,730000,13.8,3018,3,2,1,70,,,-37.868,144.8287,Western Metropolitan,5301
Altona,3,678000,13.8,3018,3,1,2,606,87,1950,-37.8608,144.8124,Western Metropolitan,5301
Altona,2,580000,13.8,3018,2,2,1,175,76,2013,-37.8687,144.8268,Western Metropolitan,5301
Altona,3,712000,13.8,3018,3,1,2,363,,,-37.8674,144.8375,Western Metropolitan,5301
Altona,3,840000,13.8,3018,3,2,2,534,136,1965,-37.86,144.8245,Western Metropolitan,5301
Altona,3,980000,13.8,3018,3,1,2,724,,,-37.8672,144.817,Western Metropolitan,5301
Altona,3,605100,13.8,3018,3,2,0,265,,,-37.8583,144.8172,Western Metropolitan,5301
Altona,3,880000,13.8,3018,3,3,1,577,,,-37.8699,144.8235,Western Metropolitan,5301
Altona,3,577000,13.8,3018,3,2,1,205,113,2007,-37.8684,144.815,Western Metropolitan,5301
Altona,4,1030000,13.8,3018,4,1,0,797,,,-37.8663,144.8387,Western Metropolitan,5301
Altona,3,605000,13.8,3018,3,1,2,181,,,-37.8659,144.822,Western Metropolitan,5301
Altona,3,753000,13.8,3018,3,2,2,529,,,-37.8612,144.8247,Western Metropolitan,5301
Altona,2,857000,13.8,3018,2,2,1,675,100,1950,-37.8653,144.8129,Western Metropolitan,5301
Altona,3,1500000,13.8,3018,3,1,1,929,,,-37.8651,144.832,Western Metropolitan,5301
Altona,3,730000,13.8,3018,3,2,1,70,3,2014,-37.868,144.8285,Western Metropolitan,5301
Altona,3,900000,13.8,3018,3,1,4,697,,,-37.871,144.8075,Western Metropolitan,5301
Altona,3,740000,13.8,3018,3,1,2,604,,,-37.8631,144.8195,Western Metropolitan,5301
Altona,4,931000,13.8,3018,4,2,3,532,,1970,-37.8637,144.8365,Western Metropolitan,5301
Altona,2,535600,13.8,3018,2,1,1,154,91,1996,-37.8646,144.8272,Western Metropolitan,5301
Altona North,5,1085000,11.1,3025,5,3,6,592,251,1965,-37.8388,144.8567,Western Metropolitan,5132
Altona North,3,781000,11.1,3025,3,1,2,533,117,1970,-37.8291,144.835,Western Metropolitan,5132
Altona North,3,750000,11.1,3025,3,1,3,554,,,-37.8449,144.85,Western Metropolitan,5132
Altona North,2,421000,11.1,3025,2,1,1,77,77,2009,-37.8351,144.8529,Western Metropolitan,5132
Altona North,3,1405000,11.1,3025,3,1,3,655,,,-37.8338,144.8562,Western Metropolitan,5132
Altona North,3,683000,11.1,3025,3,1,2,534,167,1967,-37.8284,144.8355,Western Metropolitan,5132
Altona North,3,623000,11.1,3025,3,1,3,540,,,-37.8267,144.8368,Western Metropolitan,5132
Altona North,3,720000,11.1,3025,3,2,1,0,130,2012,-37.8379,144.8583,Western Metropolitan,5132
Altona North,3,588000,11.1,3025,3,1,1,328,118,1970,-37.838,144.8555,Western Metropolitan,5132
Altona North,3,710000,11.1,3025,3,1,3,540,116,1960,-37.8294,144.8378,Western Metropolitan,5132
Altona North,4,875000,11.1,3025,3,1,4,559,169,1965,-37.8448,144.8529,Western Metropolitan,5132
Altona North,3,700000,11.1,3025,3,1,3,554,,,-37.8449,144.85,Western Metropolitan,5132
Altona North,2,640000,11.1,3025,2,1,1,252,,1965,-37.8397,144.8602,Western Metropolitan,5132
Altona North,4,650000,11.1,3025,4,1,4,558,,,-37.8451,144.8529,Western Metropolitan,5132
Altona North,3,675000,11.1,3025,3,2,2,171,109,2012,-37.8337,144.8554,Western Metropolitan,5132
Altona North,3,708000,11.1,3025,3,1,2,585,97,1960,-37.8258,144.8523,Western Metropolitan,5132
Altona North,4,965000,11.1,3025,4,1,4,851,,,-37.8345,144.8444,Western Metropolitan,5132
Altona North,3,680000,11.1,3025,3,1,3,551,,,-37.8254,144.8514,Western Metropolitan,5132
Altona North,3,770000,11.1,3025,3,1,3,602,603,,-37.8327,144.8451,Western Metropolitan,5132
Altona North,3,923000,11.1,3025,3,1,2,740,,,-37.8269,144.8455,Western Metropolitan,5132
Altona North,4,693000,11.1,3025,4,2,4,315,170,2008,-37.8391,144.8467,Western Metropolitan,5132
Altona North,3,620000,11.1,3025,5,2,2,276,100,2010,-37.8262,144.8443,Western Metropolitan,5132
Altona North,3,728500,11.1,3025,3,1,1,531,157,1960,-37.8277,144.8385,Western Metropolitan,5132
Altona North,3,931000,11.1,3025,3,2,1,590,160,1950,-37.8382,144.8649,Western Metropolitan,5132
Altona North,3,988000,11.1,3025,3,1,4,715,,2008,-37.8423,144.8632,Western Metropolitan,5132
Altona North,3,590000,11.1,3025,3,1,2,561,,,-37.8444,144.8491,Western Metropolitan,5132
Altona North,2,610000,11.1,3025,2,1,2,691,,,-37.834,144.8553,Western Metropolitan,5132
Altona North,3,815000,11.1,3025,3,2,3,555,130,1960,-37.8318,144.8388,Western Metropolitan,5132
Altona North,4,970000,11.1,3025,4,1,2,708,,,-37.833,144.8494,Western Metropolitan,5132
Altona North,4,760000,11.1,3025,4,1,3,668,,,-37.8262,144.8439,Western Metropolitan,5132
Altona North,4,847500,11.1,3025,4,3,1,252,,,-37.8393,144.8568,Western Metropolitan,5132
Altona North,4,1200000,11.1,3025,4,1,4,633,158,1960,-37.8375,144.8541,Western Metropolitan,5132
Altona North,3,700000,11.1,3025,3,1,1,557,,,-37.8441,144.8505,Western Metropolitan,5132
Altona North,3,625000,11.1,3025,3,1,1,536,,,-37.8285,144.8351,Western Metropolitan,5132
Altona North,2,292000,11.1,3025,2,1,1,153,70,1970,-37.8332,144.8649,Western Metropolitan,5132
Armadale,2,599000,6.3,3143,2,1,1,0,76,1964,-37.8543,145.0262,Southern Metropolitan,4836
Armadale,2,550000,6.3,3143,2,1,0,861,,,-37.8539,145.0284,Southern Metropolitan,4836
Armadale,3,995000,6.3,3143,3,2,2,0,100,1998,-37.8552,145.016,Southern Metropolitan,4836
Armadale,3,1205000,6.3,3143,3,2,2,101,105,2000,-37.854,145.0135,Southern Metropolitan,4836
Armadale,3,1939000,6.3,3143,3,2,2,296,150,1889,-37.8614,145.0274,Southern Metropolitan,4836
Armadale,1,421500,6.3,3143,1,1,0,0,,,-37.853,145.0167,Southern Metropolitan,4836
Armadale,3,1870000,6.3,3143,3,1,1,217,116,1888,-37.8592,145.0182,Southern Metropolitan,4836
Armadale,2,678000,6.3,3143,2,1,2,0,,,-37.8538,145.0127,Southern Metropolitan,4836
Armadale,3,1918000,6.3,3143,3,2,2,0,165,1995,-37.8537,145.0267,Southern Metropolitan,4836
Armadale,2,660000,6.3,3143,2,1,1,0,,,-37.8619,145.0257,Southern Metropolitan,4836
Armadale,3,2050000,6.3,3143,3,2,1,205,116,1910,-37.8574,145.0281,Southern Metropolitan,4836
Armadale,2,700000,6.3,3143,2,1,2,0,,,-37.8552,145.016,Southern Metropolitan,4836
Armadale,2,3625000,6.3,3143,3,2,2,0,,2006,-37.8555,145.0291,Southern Metropolitan,4836
Armadale,4,3000000,6.3,3143,4,2,2,1581,,1934,-37.858,145.0111,Southern Metropolitan,4836
Armadale,5,1525000,6.3,3143,8,2,2,693,,,-37.8638,145.0229,Southern Metropolitan,4836
Armadale,3,735000,6.3,3143,3,2,1,2113,14,1970,-37.8543,145.0262,Southern Metropolitan,4836
Armadale,2,825000,6.3,3143,2,1,1,0,,,-37.8528,145.0268,Southern Metropolitan,4836
Armadale,3,1586000,6.3,3143,2,2,2,246,,,-37.8566,145.0116,Southern Metropolitan,4836
Armadale,2,645000,6.3,3143,3,1,1,0,,1960,-37.8596,145.0198,Southern Metropolitan,4836
Armadale,1,1435000,6.3,3143,2,2,1,144,107,1900,-37.8564,145.0228,Southern Metropolitan,4836
Armadale,1,280000,6.3,3143,1,1,1,0,38,1975,-37.8619,145.0185,Southern Metropolitan,4836
Armadale,1,400000,6.3,3143,1,1,1,0,,,-37.8605,145.0185,Southern Metropolitan,4836
Armadale,2,1780000,6.3,3143,2,2,2,0,,,-37.8537,145.0267,Southern Metropolitan,4836
Armadale,2,592500,6.3,3143,2,1,1,0,73,1970,-37.8574,145.0174,Southern Metropolitan,4836
Armadale,2,1210000,6.3,3143,2,1,0,249,96,1910,-37.8543,145.016,Southern Metropolitan,4836
Armadale,4,2801000,6.3,3143,4,2,2,624,222,1900,-37.8536,145.0173,Southern Metropolitan,4836
Armadale,1,390000,6.3,3143,1,1,0,881,,,-37.8614,145.0222,Southern Metropolitan,4836
Armadale,3,1800000,6.3,3143,3,2,2,405,121,1910,-37.8545,145.0145,Southern Metropolitan,4836
Armadale,4,2200000,6.3,3143,4,1,2,495,163,1900,-37.8613,145.0264,Southern Metropolitan,4836
Armadale,1,324000,6.3,3143,1,1,1,0,,,-37.8537,145.0114,Southern Metropolitan,4836
Armadale,6,5525000,6.3,3143,5,3,4,1491,516,1935,-37.8602,145.013,Southern Metropolitan,4836
Armadale,2,1125000,6.3,3143,3,1,2,169,,,-37.851,145.0161,Southern Metropolitan,4836
Armadale,3,2250000,6.3,3143,3,3,1,301,,,-37.8511,145.0167,Southern Metropolitan,4836
Armadale,3,2360000,6.3,3143,3,2,0,336,,,-37.8558,145.015,Southern Metropolitan,4836
Armadale,2,1900000,6.3,3143,2,2,0,207,,,-37.8571,145.0224,Southern Metropolitan,4836
Armadale,1,440000,6.3,3143,1,1,1,0,53,1970,-37.8531,145.0115,Southern Metropolitan,4836
Armadale,2,490000,6.3,3143,2,1,1,0,,1966,-37.8646,145.0247,Southern Metropolitan,4836
Armadale,3,2365000,6.3,3143,3,2,1,316,,,-37.8521,145.019,Southern Metropolitan,4836
Armadale,3,1300000,6.3,3143,2,1,2,212,106,1900,-37.8542,145.0149,Southern Metropolitan,4836
Armadale,3,732000,6.3,3143,3,2,2,0,,,-37.8597,145.0104,Southern Metropolitan,4836
Armadale,2,704000,6.3,3143,2,1,1,0,74,1969,-37.8573,145.0186,Southern Metropolitan,4836
